Grunerite    (Fe6.1 Mg.9) Si8 O23.5 F.5
Mn       20.333
O        17.764
 
Sr3Al10SiO20    Sr3 Al10 Si O20
Sr       29.845
Al       30.635
Si        3.189
O        36.331
 
LiB(OH)4    Li B O4 H4
Li        8.092
B        12.603
O        74.605
H         4.700
 
Na2S2O3*5H2O    Na S O4 H5
Na       18.526
S        25.840
O        51.572
H         4.061
 
PbFI    Pb I F
Pb       58.680
I        35.940
F         5.380
 
PbGaBO4    Pb Ga B O4
Pb       58.909
Ga       19.823
B         3.074
O        18.195
 
YbMnO3    Yb Mn O3
Yb       62.701
Mn       19.907
O        17.392
 
Rambergite    (Mn.95 Fe.05) S
Mn       59.956
Fe        3.208
S        36.837
 
K2CO3*1.5H2O    K4 C2 O9 H6
K        47.326
C         7.269
O        43.574
H         1.830
 
Schuetteite    Hg5 S2 O9
Hg       82.815
S         5.295
O        11.890
 
LuMnO3    Lu Mn O3
Lu       62.960
Mn       19.769
O        17.272
 
CuSeO4*5H2O    Cu Se O9 H10
Cu       21.426
Se       26.624
O        48.552
H         3.399
 
Boyleite    Zn S O8 H8
Zn       28.003
S        13.732
O        54.812
H         3.453
 
Flinkite    Mn3 As O8 H4
Mn       44.333
As       20.153
O        34.429
H         1.084
 
Pyrobelonite    Pb Mn V O5 H
Pb       52.578
Mn       13.941
V        12.927
O        20.299
H         0.256
 
YbCoGaO4    Yb.5 (Co.5 Ga.5) O2
Yb       47.318
Co       16.115
Ga       19.066
O        17.500
 
MgSeO4*6H2O    Mg Se O10 H12
Mg        8.827
Se       28.676
O        58.105
H         4.393
 
SrMgP2O7    Sr Mg P2 O7
Sr       30.650
Mg        8.502
P        21.670
O        39.177
 
Co2P2O7    Co2 P2 O7
Co       40.392
P        21.229
O        38.380
 
Na1.79Mg1.79Fe1.21(PO4)3    Na1.792 Mg1.792 Fe1.208 P3 O12
Na        9.425
Mg        9.964
Fe       15.433
P        21.257
O        43.921
 
(NH4)(Zn,Ga)2(PO4)2    (Zn Ga) P2 O8 N H4
Zn       19.059
Ga       20.322
P        18.056
O        37.306
N         4.082
H         1.175
 
Ba2CoCl2(SeO3)2    Ba2 Co Se2 O6 Cl2
Ba       41.715
Co        8.951
Se       23.985
O        14.580
Cl       10.769
 
MnTe2O5    Mn Te2 O5
Mn       14.082
Te       65.413
O        20.505
 
CaMo5O8    Ca Mo5 O8
Ca        6.187
Mo       74.054
O        19.759
 
(NH4)2HgCl2(NO3)2    Hg Cl2 O6 N4
Hg       47.363
Cl       16.742
O        22.666
N        13.229
 
Sm5(SiO4)3O    Sm5 Si3 O13
Sm       72.008
Si        8.070
O        19.922
 
Dy4(SiS4)3    Dy4 Si3 S12
Dy       58.085
Si        7.529
S        34.386
 
PbCl4    Pb Cl4
Pb       59.368
Cl       40.632
 
Rb2Al2B2O7    Rb2 Al2 B2 O7
Rb       47.679
Al       15.052
B         6.031
O        31.239
 
K4(CrO4)(NO3)2    K4 Cr N2 O10
K        39.454
Cr       13.117
N         7.067
O        40.362
 
TiCl4    Ti Cl4
Ti       25.241
Cl       74.759
 
Gasparite-(Ce)    Ce As O4
Ce       50.214
As       26.850
O        22.935
 
Na2SeO3    Na2 Se O3
Na       26.587
Se       45.658
O        27.755
 
KCrO3Cl    K Cr Cl O3
K        22.400
Cr       29.789
Cl       20.311
O        27.499
 
NaCoHP2O7    Na Co P2 O7 H
Na        8.950
Co       22.942
P        24.116
O        43.599
H         0.392
 
Na3Cr2(AsO4)3    Na3 Cr2 As3 O12
Na       11.695
Cr       17.634
As       38.114
O        32.557
 
CsAl(MoO4)2    Cs Al Mo2 O8
Cs       27.702
Al        5.624
Mo       39.995
O        26.679
 
Ilesite    Mn S O8 H8
Mn       24.629
S        14.375
O        57.381
H         3.615
 
NaAl(MoO4)2    Na Al Mo2 O8
Na        6.216
Al        7.295
Mo       51.881
O        34.608
 
BaCaAlF7    Ba Ca Al F7
Ba       40.705
Ca       11.879
Al        7.997
F        39.419
 
LiCl*H2O    Li Cl O H2
Li       11.490
Cl       58.688
O        26.485
H         3.337
 
Li2SeO4*H2O    Li2 Se O5 H2
Li        7.939
Se       45.157
O        45.751
H         1.153
 
NaMg(H2PO3)3*H2O    Na Mg P3 O10 H8
Na        7.458
Mg        7.884
P        30.142
O        51.900
H         2.616
 
Sc2TiO5    (Sc2 Ti) O5
Sc       41.284
Ti       21.985
O        36.731
 
HgB4O7    Hg B4 O7
Hg       56.372
B        12.153
O        31.475
 
Bi3ScMo2O12    Bi3.041 Sc.959 Mo2 O12
Bi       59.813
Sc        4.058
Mo       18.059
O        18.070
 
KPrF4    K Pr F4
K        15.273
Pr       55.042
F        29.685
 
K2Zn(H2P2O7)2*2H2O    K2 Zn O16 H8 P4
K        14.711
Zn       12.302
O        48.161
H         1.517
P        23.309
 
Li3Sc(MoO4)3    (Li3 Sc) Mo3 O12
Li        3.817
Sc        8.240
Mo       52.754
O        35.190
 
Ba2CoSi2O7    Ba2 Co Si2 O7
Ba       54.739
Co       11.745
Si       11.195
O        22.321
 
K2MoO2P2O7    K2 Mo P2 O9
K        20.574
Mo       25.242
P        16.299
O        37.885
 
K2Mn(H2P2O7)2*2H2O    K2 Mn O16 H8 P4
K        15.007
Mn       10.543
O        49.127
H         1.547
P        23.776
 
Ag1.49Mn3(AsO4)3    Ag1.49 Mn3 As3 O12
Ag       21.652
Mn       22.203
As       30.280
O        25.865
 
Li3TaO4    Li3 Ta O4
Li        7.835
Ta       68.085
O        24.080
 
Yb2Se3    Yb2 Se3
Yb       59.366
Se       40.634
 
Wolfeite    Fe1.839 Mg.161 P O5 H
Fe       46.983
Mg        1.790
P        14.170
O        36.596
H         0.461
 
CaK2P2O7    Ca K2 P2 O7
Ca       13.715
K        26.760
P        21.199
O        38.326
 
LiMnVO4    Li Mn V O4
Li        3.926
Mn       31.070
V        28.810
O        36.194
 
Cs2Cr3O10    Cs2 Cr3 O10
Cs       45.688
Cr       26.812
O        27.500
 
K2Ni(H2P2O7)2*2H2O    K2 Ni P4 O16 H8
K        14.899
Ni       11.183
P        23.606
O        48.775
H         1.536
 
Na3VOS3    Na3 V S3 O
Na       29.714
V        21.947
S        41.445
O         6.893
 
Rb2[WS4]    Rb2 W S4
Rb       35.387
W        38.060
S        26.553
 
La(NO2)3    La N3 O6
La       50.160
N        15.174
O        34.665
 
CaKP3O9    Ca K P3 O9
Ca       12.679
K        12.369
P        29.397
O        45.555
 
LiMn2O4    Li Mn2 O4
Li        3.839
Mn       60.767
O        35.394
 
ZnHg(AsO4)(OH)    Zn Hg As O5 H
Zn       15.499
Hg       47.544
As       17.758
O        18.961
H         0.239
 
CsLa(PO3)4    Cs La P4 O12
Cs       22.615
La       23.635
P        21.081
O        32.669
 
Cu(ClO4)2*8H2O    Cu Cl2 O16 H16
Cu       15.630
Cl       17.440
O        62.964
H         3.967
 
Hg(ClO3)(OH)    Hg Cl O4 H
Hg       66.631
Cl       11.776
O        21.258
H         0.335
 
KCaF(CO3)    K Ca C O3 F
K        24.717
Ca       25.336
C         7.593
O        30.343
F        12.010
 
RbMn6(As2O7)2(As3O10)    Rb Mn6 As7 O24
Rb        6.458
Mn       24.905
As       39.625
O        29.012
 
Ba3V4(PO4)6    Ba1.5 V2 P3 O12
Ba       34.749
V        17.187
P        15.675
O        32.388
 
K2Co(HPO3)2*2H2O    K2 Co P2 O8 H6
K        23.474
Co       17.691
P        18.596
O        38.423
H         1.815
 
EuIBr    Eu I Br
Eu       42.357
I        35.372
Br       22.271
 
Na3YCl6    Na3 Y Cl6
Na       18.611
Y        23.990
Cl       57.399
 
K3Bi2(AsO4)3    K3 Bi2 As3 O12
K        12.321
Bi       43.903
As       23.609
O        20.167
 
NaMg4(AsO4)3    Na Mg4 As3 O12
Na        4.281
Mg       18.105
As       41.858
O        35.755
 
NH4Cr(SO4)2*12H2O    N H28 Cr S2 O20
N         2.928
H         5.900
Cr       10.870
S        13.407
O        66.895
 
NH4FeIIH(SO4)2*2H2O    N H8 Fe S2 O10
N         4.637
H         2.670
Fe       18.490
S        21.233
O        52.971
 
LiYb(PO3)4    Li Yb P4 O12
Li        1.400
Yb       34.896
P        24.985
O        38.718
 
Pb2[B5O9]Br    Pb2 B5 O9 Br
Pb       59.854
B         7.807
O        20.798
Br       11.541
 
EuB3O6    Eu B3 O6
Eu       54.197
B        11.567
O        34.236
 
CeB3O6    Ce B3 O6
Ce       52.176
B        12.077
O        35.747
 
Fe7(AsO4)6    Fe7 As6 O24
Fe       31.927
As       36.713
O        31.360
 
(Na0.38,Ca0.31)MgFe2P3O12    Na.376 Ca.312 Mg Fe2 P3 O12
Na        1.955
Ca        2.829
Mg        5.498
Fe       25.267
P        21.020
O        43.431
 
Cs2ThSi6O15    Cs2 Th Si6 O15
Cs       29.328
Th       25.601
Si       18.592
O        26.479
 
K3Fe3(AsO4)4    K3 Fe3 As4 O16
K        13.955
Fe       19.933
As       35.655
O        30.456
 
Percleveite-(Ce)    Ce2 Si2 O7
Ce       62.496
Si       12.527
O        24.977
 
(NH4)2Mn2(SO4)3    Mn2 S3 O12 N2 H8
Mn       25.309
S        22.158
O        44.223
N         6.453
H         1.857
 
Cd3[Si3O9]    Cd Si O3
Cd       59.636
Si       14.900
O        25.464
 
CoZn2(PO4)2*4H2O    Co Zn2 P2 O12 H8
Co       13.046
Zn       28.952
P        13.714
O        42.503
H         1.785
 
NiZn2(PO4)2*4H2O    Ni Zn2 P2 O12 H8
Ni       13.000
Zn       28.967
P        13.721
O        42.526
H         1.786
 
KNb5O13    K Nb5 O13
K         5.494
Nb       65.278
O        29.228
 
Polyhalite    K2 Ca2 Mg S4 O18 H4
K        12.969
Ca       13.294
Mg        4.031
S        21.273
O        47.764
H         0.669
 
LiV2O4    V2 O4 Li
V        58.953
O        37.031
Li        4.016
 
Ba5(VO4)3Cl    Ba5 V3 Cl O12
Ba       64.358
V        14.324
Cl        3.323
O        17.995
 
LaAlO3    La Al O3
La       64.944
Al       12.615
O        22.441
 
K1.33Na.67Si2O5    K4 Na2 Si6 O15
K        25.601
Na        7.527
Si       27.585
O        39.286
 
NaCa1.5(NbO)2O2(AsO4)2    Na Ca1.5 Nb2 As2 O12
Na        3.764
Ca        9.843
Nb       30.423
As       24.534
O        31.435
 
Li2.5K0.16Na0.34Cr2(PO4)3    Li4.998 (K.31 Na.69) Cr4 P6 O24
Li        4.128
K         1.442
Na        1.887
Cr       24.746
P        22.111
O        45.686
 
MgTe2O5    Mg Te2 O5
Mg        6.761
Te       70.987
O        22.252
 
CaB8O11(OH)4    Ca B8 O15 H4
Ca       10.815
B        23.338
O        64.759
H         1.088
 
Ca(ClO2)2    Ca Cl2 O2
Ca       28.030
Cl       49.590
O        22.380
 
Sr(ClO2)2    Sr Cl2 O2
Sr       45.989
Cl       37.216
O        16.795
 
Topaz    Al2 Si O6 D2
Al       29.638
Si       15.425
O        52.724
D         2.212
 
Grossular    Ca3 (Al1.338 Fe.662) Si3 O12
Ca       25.606
Al        7.688
Fe        7.874
Si       17.944
O        40.888
 
NaFe2(PO4)2(OH)*2H2O    Na Fe2 P2 O11 H5
Na        6.087
Fe       29.575
P        16.403
O        46.600
H         1.334
 
Yb[AsO4]    Yb As O4
Yb       55.469
As       24.016
O        20.515
 
KMg(HP2O7)*2H2O    K Mg P2 O9 H5
K        14.249
Mg        8.858
P        22.577
O        52.479
H         1.837
 
Sc2Te3    Sc2 Te3
Sc       19.020
Te       80.980
 
Benitoite    Ba Ti Si3 O9
Ba       33.214
Ti       11.580
Si       20.378
O        34.827
 
Chalcostibite    Cu Sb S2
Cu       25.477
Sb       48.812
S        25.712
 
NiBr2    Ni Br2
Ni       26.861
Br       73.139
 
NiI2    Ni I2
Ni       18.781
I        81.219
 
Mitscherlichite    Cu K2 O2 Cl4 H4
Cu       19.884
K        24.468
O        10.013
Cl       44.374
H         1.262
 
(NH4)2CuCl4*2H2O    Cu N2 O2 Cl4
Cu       23.946
N        10.556
O        12.058
Cl       53.439
 
Enargite    Cu3 As S4
Cu       48.407
As       19.024
S        32.569
 
Tennantite    Cu12 As4 S13
Cu       51.555
As       20.261
S        28.183
 
(NH4)2S2O8    N S O4
N        12.725
S        29.132
O        58.142
 
Cs2S2O8    S O4 Cs
S        14.005
O        27.950
Cs       58.045
 
CsSH    Cs S
Cs       80.563
S        19.437
 
(NH4)SH    N S
N        30.401
S        69.599
 
KSH    K S
K        54.941
S        45.059
 
NaSH    Na S
Na       41.757
S        58.243
 
RbSH    Rb S
Rb       72.718
S        27.282
 
NaSH    Na S
Na       41.757
S        58.243
 
KSH    K S
K        54.941
S        45.059
 
RbSH    Rb S
Rb       72.718
S        27.282
 
K2S    S K2
S        29.081
K        70.919
 
CoCl2    Co Cl2
Co       45.390
Cl       54.610
 
LiClO4*3H2O    Li Cl O7 H6
Li        4.326
Cl       22.098
O        69.807
H         3.769
 
LiI*3H2O    Li I (O3 H6)
Li        3.694
I        67.541
O        25.546
H         3.219
 
(NH4)2SiF6    Si F6 N2
Si       16.512
F        67.018
N        16.470
 
(NH4)2BeF4    N2 Be F4
N        24.786
Be        7.974
F        67.240
 
Ilmenite    Fe Ti O3
Fe       36.808
Ti       31.557
O        31.635
 
NiTiO3    Ni Ti O3
Ni       37.970
Ti       30.977
O        31.053
 
CdTiO3    Cd Ti O3
Cd       53.969
Ti       22.987
O        23.044
 
Pd(NH3)4Cl2*H2O    Pd N4 Cl2 (O H2)
Pd       42.336
N        22.289
Cl       28.208
O         6.365
H         0.802
 
TeO6H6    Te (O6 H6)
Te       55.564
O        41.802
H         2.633
 
Talc    Mg3 Si4 O12 H2
Mg       19.225
Si       29.621
O        50.622
H         0.532
 
Pyrophyllite    Al Si2 O6 H
Al       14.977
Si       31.179
O        53.285
H         0.559
 
Clinochlore    Mg5 Al2 Si3 O18 H8
Mg       21.865
Al        9.709
Si       15.160
O        51.816
H         1.451
 
Tetradymite    Bi2 Te2 S
Bi       59.266
Te       36.187
S         4.547
 
Hauerite    Mn S2
Mn       46.139
S        53.861
 
Stannite    Cu2 Fe Sn S4
Cu       29.562
Fe       12.990
Sn       27.613
S        29.835
 
HgCl2    Hg Cl2
Hg       73.883
Cl       26.117
 
Li2SO4*H2O    Li2 S O5 H2
Li       10.849
S        25.059
O        62.517
H         1.575
 
Sulphohalite    Na6 S2 O8 Cl F
Na       35.873
S        16.679
O        33.287
Cl        9.220
F         4.941
 
K2S3O6    K2 S3 O6
K        28.920
S        35.577
O        35.503
 
Alarsite    Al As O4
Al       16.264
As       45.160
O        38.576
 
Bixbyite    (Fe Mn) O3
Fe       35.172
Mn       34.599
O        30.229
 
Livingstonite    Hg Sb4 S8
Hg       21.246
Sb       51.583
S        27.171
 
Jamesonite    Fe Pb4 Sb6 S14
Fe        2.706
Pb       40.154
Sb       35.391
S        21.749
 
Freieslebenite    Pb Ag Sb S3
Pb       38.873
Ag       20.237
Sb       22.842
S        18.048
 
MgAl26O40    Mg Al26 O40
Mg        1.780
Al       51.363
O        46.857
 
Meneghinite    Cu.25 Pb3.25 Sb1.75 S6
Cu        1.451
Pb       61.512
Sb       19.462
S        17.575
 
Vayrynenite    Mn.8 Fe.1 Be P O5 H
Mn       25.773
Fe        3.275
Be        5.285
P        18.164
O        46.912
H         0.591
 
Euclase    Al Be Si O5 H
Al       18.597
Be        6.212
Si       19.358
O        55.138
H         0.695
 
Gwihabaite    N2 O3 H4
N        34.998
O        59.965
H         5.037
 
Corundum    Al2 O3
Al       52.925
O        47.075
 
Ti2O3    Ti2 O3
Ti       66.612
O        33.388
 
Karelianite    V2 O3
V        67.976
O        32.024
 
Eskolaite    Cr2 O3
Cr       68.420
O        31.580
 
Gallium    Ga
Ga      100.000
 
Bustamite    Ca Mn Si2 O6
Ca       16.214
Mn       22.226
Si       22.724
O        38.836
 
Boussingaultite    Mg S2 O14 N2 H20
Mg        6.740
S        17.785
O        62.116
N         7.769
H         5.590
 
Ximengite    Bi P O4
Bi       68.754
P        10.190
O        21.055
 
BiPO4    Bi P O4
Bi       68.754
P        10.190
O        21.055
 
Jeppeite    K2 Ti6 O13
K        13.636
Ti       50.095
O        36.269
 
SnSO4    Sn S O4
Sn       55.272
S        14.930
O        29.798
 
Quartz    Si O2
Si       46.743
O        53.257
 
Quartz    Si O2
Si       46.743
O        53.257
 
Corundum    (Al1.82 Cr.18) O3
Al       46.125
Cr        8.791
O        45.084
 
Eskolaite    Cr2 O3
Cr       68.420
O        31.580
 
Gahnite    Zn.79 Mg.235 Al1.9 Fe.075 O4
Zn       29.215
Mg        3.230
Al       28.993
Fe        2.369
O        36.193
 
AsI3    As I3
As       16.443
I        83.557
 
AsI3    As I3
As       16.443
I        83.557
 
Turquoise    Cu P4 Al6 O28 H16
Cu        7.812
P        15.231
Al       19.902
O        55.073
H         1.983
 
Na2S*9H2O    Na2 S (O9 H18)
Na       19.144
S        13.351
O        59.952
H         7.554
 
Na2Se*9H2O    Na2 Se (O9 H18)
Na       16.016
Se       27.505
O        50.159
H         6.320
 
Na2S*5H2O    Na2 S (O5 H10)
Na       27.349
S        19.073
O        47.583
H         5.995
 
Na2Se(H2O)5    Na2 Se (O5 H10)
Na       21.384
Se       36.723
O        37.205
H         4.688
 
Na2Te(H2O)5    Na2 Te (O5 H10)
Na       17.439
Te       48.396
O        30.341
H         3.823
 
Wulfenite    Pb Mo O4
Pb       56.437
Mo       26.132
O        17.432
 
Celestine    Sr S O4
Sr       47.702
S        17.457
O        34.841
 
Taramellite    Ba (Fe.5 Ti.5) Si2 O7
Ba       38.428
Fe        7.814
Ti        6.699
Si       15.718
O        31.340
 
Hutchinsonite	    (Pb Tl) As5 S9
Pb       19.278
Tl       19.016
As       34.854
S        26.851
 
Dalyite    (K1.7 Na.3) Zr Si6 O15
K        11.598
Na        1.203
Zr       15.918
Si       29.404
O        41.877
 
Cristobalite    Si O2
Si       46.743
O        53.257
 
Co3B2O6    Co3 B2 O6
Co       60.051
B         7.344
O        32.605
 
V2Ga5    V2 Ga5
V        22.616
Ga       77.384
 
Picromerite    Mg K2 S2 O14 H12
Mg        6.035
K        19.417
S        15.925
O        55.620
H         3.003
 
Fluocerite-(La)    La F3
La       70.906
F        29.094
 
Rathite-I    Pb3 As5 S10
Pb       47.203
As       28.447
S        24.350
 
Eulytite    Bi4 Si3 O12
Bi       75.161
Si        7.576
O        17.263
 
Tarbuttite    Zn2 P O5 H
Zn       53.872
P        12.759
O        32.953
H         0.415
 
Luzonite    Cu3 (As.685 Sb.315) S4
Cu       46.659
As       12.561
Sb        9.387
S        31.393
 
Stranskiite    Zn2 Cu As2 O8
Zn       27.698
Cu       13.458
As       31.735
O        27.108
 
Larsenite    Pb Zn Si O4
Pb       56.818
Zn       17.931
Si        7.702
O        17.549
 
Sc2O3    Sc2 O3
Sc       65.196
O        34.804
 
Hemimorphite    Zn2 Si O5 H2
Zn       54.293
Si       11.660
O        33.211
H         0.837
 
Hemimorphite    Zn2 Si O5 H2
Zn       54.293
Si       11.660
O        33.211
H         0.837
 
Ferberite    Fe W O4
Fe       18.389
W        60.538
O        21.073
 
Tellurite    Te O2
Te       79.950
O        20.050
 
Nowackiite    (Cu6 Zn3) As4 S12
Cu       30.214
Zn       15.545
As       23.748
S        30.492
 
Fornacite    Pb2 Cu (As.925 P.075) Cr O9 H
Pb       55.507
Cu        8.512
As        9.283
P         0.311
Cr        6.965
O        19.287
H         0.135
 
Syngenite    K2 Ca S2 O9 H2
K        23.810
Ca       12.203
S        19.528
O        43.845
H         0.614
 
Dufrenoysite    Pb2 As2 S5
Pb       57.192
As       20.680
S        22.128
 
Pharmacosiderite    Fe4 As3 O21 H20
Fe       27.774
As       27.945
O        41.774
H         2.506
 
Hubnerite    (Mn.97 Fe.03) W O4
Mn       17.598
Fe        0.553
W        60.714
O        21.134
 
Muscovite-3T    (K.9 Na.06 Ca.02 Ba.02) Al2.53 Fe.08 Mg.08 Ti.01 Si3.3 O12 H2
K         8.754
Na        0.343
Ca        0.199
Ba        0.683
Al       16.983
Fe        1.111
Mg        0.484
Ti        0.119
Si       23.057
O        47.764
H         0.502
 
Hatchite    (Pb Tl) Ag As2 S5
Pb       24.975
Tl       24.636
Ag       13.002
As       18.062
S        19.326
 
Pectolite    Ca2 Na H Si3 O9
Ca       24.114
Na        6.916
H         0.303
Si       25.348
O        43.319
 
Bayerite    Al O3 H3
Al       34.590
O        61.533
H         3.877
 
Rhodizite    Cs B12 Be4 Al4 O28
Cs       15.552
B        15.181
Be        4.218
Al       12.629
O        52.420
 
BaFe12O19    Ba Fe12 O19
Ba       12.355
Fe       60.295
O        27.350
 
Marrite    Pb Ag As S3
Pb       42.617
Ag       22.187
As       15.410
S        19.786
 
Li2(Si.25Ge.75)2O5    Li2 (Si.5 Ge1.5) O5
Li        6.402
Si        6.476
Ge       50.229
O        36.893
 
Spodumene-II    Li (Al Si2) O6
Li        3.730
Al       14.499
Si       30.185
O        51.586
 
Alamosite    Pb Si O3
Pb       73.142
Si        9.914
O        16.944
 
Vauquelinite    Pb2 Cu Cr P O9 H
Pb       58.704
Cu        9.002
Cr        7.366
P         4.388
O        20.398
H         0.143
 
Wavellite    Al3 P2 O16 H15
Al       19.552
P        14.963
O        61.833
H         3.652
 
Na2Al22O34    Al11 Na O17
Al       50.154
Na        3.885
O        45.962
 
Rh3Se8    Rh3 Se8
Rh       32.828
Se       67.172
 
Bi2Mn4O10    Bi Mn2 O5
Bi       52.395
Mn       27.548
O        20.057
 
Bi2Al4O9    Bi2 Al4 O9
Bi       62.393
Al       16.111
O        21.496
 
Bi2Fe4O9    Bi2 Fe4 O9
Bi       53.220
Fe       28.445
O        18.335
 
Leucite    (K.85 Na.15) (Al Si2) O6
K        15.398
Na        1.598
Al       12.501
Si       26.025
O        44.478
 
Amarantite    Fe S O8 H7
Fe       25.048
S        14.382
O        57.406
H         3.164
 
Parawollastonite    Ca Si O3
Ca       34.502
Si       24.178
O        41.320
 
LiAlSi2O6 III    Li.333 (Al.333 Si.667) O2
Li        3.726
Al       14.485
Si       30.201
O        51.588
 
Wallisite    (Pb Tl) Cu As2 S5
Pb       26.385
Tl       26.026
Cu        8.092
As       19.081
S        20.416
 
Li4GeO4    Li4 Ge O4
Li       16.891
Ge       44.174
O        38.935
 
HgI2    Hg I2
Hg       44.144
I        55.856
 
Margarosanite    Pb Ca2 Si3 O9
Pb       40.186
Ca       15.546
Si       16.341
O        27.927
 
Gratonite    Pb9 As4 S15
Pb       70.490
As       11.328
S        18.182
 
Zeolite-L    K6 Na3 (Al9 Si27) O93 H102
K         8.102
Na        2.382
Al        8.387
Si       26.190
O        51.389
H         3.551
 
Li2ZnCl4*2H2O    Li2 Zn Cl4 (O2 H4)
Li        5.399
Zn       25.432
Cl       55.155
O        12.445
H         1.568
 
Pt12Si5    Pt12 Si5
Pt       94.341
Si        5.659
 
Sr(OH)2    Sr (O2 H2)
Sr       72.035
O        26.307
H         1.657
 
EuI2    Eu I2
Eu       37.451
I        62.549
 
SrI2    Sr I2
Sr       25.663
I        74.337
 
Enstatite    Mg Si O3
Mg       24.211
Si       27.977
O        47.812
 
Ba(N3)2    Ba N6
Ba       62.036
N        37.964
 
Trechmannite    Ag As S2
Ag       43.685
As       30.342
S        25.973
 
Baumhauerite    Pb11.62 As16.6 S36
Pb       50.100
As       25.879
S        24.021
 
Benitoite    Ba Ti Si3 O9
Ba       33.214
Ti       11.580
Si       20.378
O        34.827
 
CuLaO2    Cu La O2
Cu       27.104
La       59.247
O        13.648
 
CuPrO2    Cu Pr O2
Cu       26.875
Pr       59.592
O        13.533
 
CuNdO2    Cu Nd O2
Cu       26.501
Nd       60.154
O        13.345
 
CuSmO2    Cu Sm O2
Cu       25.842
Sm       61.146
O        13.013
 
CuEuO2    Cu Eu O2
Cu       25.674
Eu       61.398
O        12.928
 
Pollucite    Cs1.5 Na.5 (Si4 Al2) O12.5 H4
Cs       34.302
Na        1.978
Si       19.330
Al        9.285
O        34.411
H         0.694
 
Zn(NO3)2(H2O)2    Zn N2 O8 H4
Zn       29.007
N        12.427
O        56.778
H         1.788
 
Coesite    Si O2
Si       46.743
O        53.257
 
Mn3Fe2Ge3O12    Mn3 Fe2 Ge3 O12
Mn       24.014
Fe       16.274
Ge       31.738
O        27.974
 
Triplite    (Mn.95 Fe.25 Ca.1 Mg.7) P O4 F
Mn       25.947
Fe        6.941
Ca        1.993
Mg        8.458
P        15.399
O        31.817
F         9.445
 
Dufrenoysite    Pb2 As2 S5
Pb       57.192
As       20.680
S        22.128
 
MnGeO3    Mn Ge O3
Mn       31.295
Ge       41.362
O        27.342
 
Kosnarite    K Zr2 P3 O12
K         7.720
Zr       36.024
P        18.347
O        37.909
 
CaSiO3    Ca Si O3
Ca       34.502
Si       24.178
O        41.320
 
Stranskiite    Zn2 Cu As2 O8
Zn       27.698
Cu       13.458
As       31.735
O        27.108
 
Seligmannite    Pb Cu As S3
Pb       46.892
Cu       14.381
As       16.956
S        21.771
 
Parahopeite    Zn3 P2 O12 H8
Zn       42.816
P        13.521
O        41.904
H         1.760
 
Spodumene-II    Li (Al Si2) O6
Li        3.730
Al       14.499
Si       30.185
O        51.586
 
Hardystonite    Ca2 Zn Si2 O7
Ca       25.551
Zn       20.844
Si       17.905
O        35.700
 
Fresnoite    Ba2 Ti Si2 O8
Ba       54.204
Ti        9.449
Si       11.086
O        25.261
 
Fresnoite    Ba2 Ti Si2 O8
Ba       54.204
Ti        9.449
Si       11.086
O        25.261
 
Triploidite    (Mn1.5 Fe.5) P O5 H
Mn       37.069
Fe       12.561
P        13.933
O        35.985
H         0.453
 
Triploidite    (Mn1.5 Fe.5) P O5 H
Mn       37.069
Fe       12.561
P        13.933
O        35.985
H         0.453
 
Ba3(VO4)2    Ba3 V2 O8
Ba       64.186
V        15.873
O        19.941
 
Zn3(BO3)2    Zn3 B2 O6
Zn       62.517
B         6.891
O        30.593
 
Schreibersite    Fe2 Ni P
Fe       55.470
Ni       29.147
P        15.382
 
Melilite    (Ca Na) Al Si2 O7
Ca       15.521
Na        8.903
Al       10.449
Si       21.753
O        43.373
 
Rathite-II    Pb18.5 As25.25 S56
Pb       50.969
As       25.154
S        23.877
 
Bournonite    Pb Sb Cu S3
Pb       42.399
Sb       24.913
Cu       13.003
S        19.685
 
Strontianite    Sr C O3
Sr       59.351
C         8.136
O        32.513
 
Seligmannite    Pb As Cu S3
Pb       46.892
As       16.956
Cu       14.381
S        21.771
 
Aikinite    Bi S3 Cu Pb
Bi       36.286
S        16.703
Cu       11.034
Pb       35.977
 
Fabianite    Ca B3 (O6 H)
Ca       23.643
B        19.133
O        56.630
H         0.595
 
Quenselite    Pb Mn O3 H
Pb       66.593
Mn       17.657
O        15.426
H         0.324
 
Magnesiocopiapite    Mg Fe4 S6 O46 H42
Mg        1.995
Fe       18.335
S        15.791
O        60.405
H         3.475
 
Sr(NO3)2*4H2O    Sr O10 N2 H8
Sr       30.886
O        56.397
N         9.875
H         2.842
 
Babingtonite    Ca2 Fe1.856 Si5 O15
Ca       14.206
Fe       18.371
Si       24.888
O        42.535
 
Staurolite    Fe.741 Al4.374 Ti.037 Si1.856 Mg.196 Mn.019 O12 H2
Fe       10.017
Al       28.568
Ti        0.429
Si       12.618
Mg        1.153
Mn        0.253
O        46.474
H         0.488
 
Realgar    As S
As       70.028
S        29.972
 
Orpiment    As2 S3
As       60.902
S        39.098
 
Zeolite (K,Ba)-G,L    K2.19 Ba6.68 (Al18 Si18) O111.6 H60.144
K         2.230
Ba       23.887
Al       12.647
Si       13.164
O        46.494
H         1.579
 
Anatase    Ti O2
Ti       59.941
O        40.059
 
Anatase    Ti O2
Ti       59.941
O        40.059
 
Anatase    Ti O2
Ti       59.941
O        40.059
 
Anatase    Ti O2
Ti       59.941
