id,symbolA,family,transition,symbolB,incidentEnergy,weightFractionA,kRatio,takeoffAngle
362,Au,L,a,Cu,20.00,0.4010,0.3330,52.50
363,Au,L,a,Cu,25.00,0.4010,0.3310,52.50
364,Au,L,a,Cu,30.00,0.4010,0.3310,52.50
365,Au,L,a,Cu,48.50,0.4010,0.3260,52.50
366,Au,L,a,Cu,15.00,0.6036,0.5110,52.50
367,Au,L,a,Cu,20.00,0.6036,0.5310,52.50
368,Au,L,a,Cu,25.00,0.6036,0.5290,52.50
369,Au,L,a,Cu,30.00,0.6036,0.5330,52.50
370,Au,L,a,Cu,48.50,0.6036,0.5210,52.50
371,Au,L,a,Cu,15.00,0.8015,0.7400,52.50
372,Au,L,a,Cu,20.00,0.8015,0.7520,52.50
373,Au,L,a,Cu,25.00,0.8015,0.7450,52.50
374,Au,L,a,Cu,30.00,0.8015,0.7540,52.50
375,Au,L,a,Cu,35.00,0.8015,0.7580,52.50
376,Au,L,a,Cu,40.00,0.8015,0.7510,52.50
377,Au,M,a,Cu,10.00,0.2012,0.1540,52.50
378,Au,M,a,Cu,20.00,0.2012,0.1400,52.50
379,Au,M,a,Cu,30.00,0.2012,0.1220,52.50
380,Au,M,a,Cu,40.00,0.2012,0.1100,52.50
381,Au,M,a,Cu,10.00,0.4010,0.3320,52.50
382,Au,M,a,Cu,20.00,0.4010,0.3040,52.50
383,Au,M,a,Cu,30.00,0.4010,0.2750,52.50
384,Au,M,a,Cu,40.00,0.4010,0.2530,52.50
385,Au,M,a,Cu,10.00,0.6036,0.5310,52.50
386,Au,M,a,Cu,20.00,0.6036,0.5000,52.50
387,Au,M,a,Cu,30.00,0.6036,0.4620,52.50
388,Au,M,a,Cu,40.00,0.6036,0.4280,52.50
389,Au,M,a,Cu,10.00,0.8015,0.7490,52.50
390,Au,M,a,Cu,20.00,0.8015,0.7280,52.50
391,Au,M,a,Cu,30.00,0.8015,0.7040,52.50
392,Au,M,a,Cu,40.00,0.8015,0.6750,52.50
393,Sb,L,a,Bi,10.00,0.6255,0.6255,52.50
394,Sb,L,a,Bi,15.00,0.6255,0.5908,52.50
395,Sb,L,a,Bi,20.00,0.6255,0.5567,52.50
396,Sb,L,a,Bi,25.00,0.6255,0.5268,52.50
397,Sb,L,a,Bi,30.00,0.6255,0.4990,52.50
398,Sb,L,a,Bi,10.00,0.5344,0.5344,52.50
399,Sb,L,a,Bi,15.00,0.5344,0.4980,52.50
400,Sb,L,a,Bi,20.00,0.5344,0.4632,52.50
401,Sb,L,a,Bi,25.00,0.5344,0.4335,52.50
402,Sb,L,a,Bi,30.00,0.5344,0.4063,52.50
403,Sb,L,a,Bi,10.00,0.4602,0.4602,52.50
404,Sb,L,a,Bi,15.00,0.4602,0.4242,52.50
405,Sb,L,a,Bi,20.00,0.4602,0.3906,52.50
406,Sb,L,a,Bi,25.00,0.4602,0.3624,52.50
407,Sb,L,a,Bi,30.00,0.4602,0.3370,52.50
408,Sb,L,a,Bi,10.00,0.3130,0.3130,52.50
409,Sb,L,a,Bi,15.00,0.3130,0.2825,52.50
410,Sb,L,a,Bi,20.00,0.3130,0.2552,52.50
411,Sb,L,a,Bi,25.00,0.3130,0.2330,52.50
412,Sb,L,a,Bi,30.00,0.3130,0.2136,52.50
413,Sb,L,a,Bi,10.00,0.1664,0.1664,52.50
414,Sb,L,a,Bi,15.00,0.1664,0.1471,52.50
415,Sb,L,a,Bi,20.00,0.1664,0.1305,52.50
416,Sb,L,a,Bi,25.00,0.1664,0.1174,52.50
417,Sb,L,a,Bi,30.00,0.1664,0.1064,52.50
418,Sb,L,a,Bi,10.00,0.1058,0.1058,52.50
419,Sb,L,a,Bi,15.00,0.1058,0.0928,52.50
420,Sb,L,a,Bi,20.00,0.1058,0.0817,52.50
421,Sb,L,a,Bi,25.00,0.1058,0.0731,52.50
422,Sb,L,a,Bi,30.00,0.1058,0.0659,52.50
423,Sb,L,a,Bi,10.00,0.0502,0.0502,52.50
424,Sb,L,a,Bi,15.00,0.0502,0.0437,52.50
425,Sb,L,a,Bi,20.00,0.0502,0.0382,52.50
426,Sb,L,a,Bi,25.00,0.0502,0.0340,52.50
427,Sb,L,a,Bi,30.00,0.0502,0.0306,52.50
